iter,v1,v2,v3,v4,v5,fitness,p1,p2,p3,p4,p5,time
153,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
154,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
155,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
156,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
157,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
158,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
159,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
160,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
161,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
162,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
163,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
164,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
165,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
166,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
167,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
168,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
169,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
170,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
171,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
172,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
173,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
174,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
175,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
176,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
177,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
178,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
