v1,v2,v3,v4,v5,fitness,p1,p2,p3,p4,p5
18.2,25.0,25.6,20.2,26.0,-10366724.336966163,0.0,0.0,0.0,0.0,0.0
25.0,7.6,0.1,24.8,15.6,-9800000.0,0.0,0.0,0.0,0.0,0.0
25.0,19.0,17.2,25.0,19.6,-7075604.462877189,0.0,0.0,0.0,0.0,0.0
8.4,10.3,15.6,3.8,11.5,-4629899.154527317,0.0,0.0,0.0,0.0,0.0
23.0,13.7,1.4,24.0,29.9,-8390427.968717627,0.0,0.0,0.0,0.0,0.0
18.2,11.5,22.1,11.9,20.4,-16507150.160685398,0.0,0.0,0.0,0.0,0.0
13.1,19.8,30.0,14.6,17.4,15187.162145500924,2325.817388098485,1346.3529042826715,1346.350543298526,5084.315715778937,5084.325594042306
12.9,19.8,22.5,15.8,20.2,-10771782.403952537,0.0,0.0,0.0,0.0,0.0
15.6,5.4,9.5,20.0,16.8,15066.31233712952,2266.728908812489,2264.1400374739223,2264.143600124993,4135.647706274476,4135.65208444364
13.2,19.3,14.6,14.8,27.8,14910.502806198449,3376.7789194175125,1376.3241548659657,1376.3258677070728,4390.538613920491,4390.535250287406
25.0,6.8,10.7,17.9,6.4,-882468.7786314804,0.0,0.0,0.0,0.0,0.0
8.3,25.0,27.8,9.4,23.8,12908.948488621878,1637.3406640310502,667.7825590913012,667.7832361628961,4968.019429692247,4968.022599644382
22.2,7.0,28.5,14.0,8.6,7873.239046858791,3993.272406116391,1308.8401026933275,1308.8406667427532,631.1433064858775,631.1425648204425
24.6,6.6,1.6,3.0,21.2,-6800000.0,0.0,0.0,0.0,0.0,0.0
9.7,21.2,14.9,12.8,21.1,12799.021366314657,491.99004109599935,126.93474104273271,126.93385802558988,6026.583977090647,6026.578749059688
