v1,v2,fitness,p1
2.3,4.0,1087.8395137950283,1087.8395137950283
0.8,3.8,612.0024413397838,612.0024413397838
2.5,1.2,1843.3135269488926,1843.3135269488926
1.8,1.7,1032.207195173287,1032.207195173287
2.5,3.7,1270.2946678278702,1270.2946678278702
1.5,3.4,758.7560329845302,758.7560329845302
2.4,4.0,999.4407169821404,999.4407169821404
2.3,1.2,1572.1006677757075,1572.1006677757075
2.0,4.5,594.3819947578075,594.3819947578075
1.7,1.7,903.3921652097397,903.3921652097397
2.3,4.8,616.3920744973784,616.3920744973784
2.3,4.5,699.2977381031891,699.2977381031891
2.2,2.7,1509.0498332846716,1509.0498332846716
2.0,2.0,1331.4241999337046,1331.4241999337046
1.8,0.6,914.9806386264141,914.9806386264141
2.5,3.4,1284.8359195059836,1284.8359195059836
1.8,3.4,1075.4444431509444,1075.4444431509444
2.3,4.7,583.4960205183309,583.4960205183309
1.8,2.0,1059.03529590039,1059.03529590039
1.7,1.9,943.4824607193774,943.4824607193774
2.5,3.8,1203.3004176499167,1203.3004176499167
2.2,3.5,1126.4111726029712,1126.4111726029712
2.5,3.0,1604.1628756999744,1604.1628756999744
2.5,0.6,1791.827212725802,1791.827212725802
2.3,5.0,765.7423187173677,765.7423187173677
2.0,2.1,1341.5400575050696,1341.5400575050696
1.6,3.6,884.6838485567326,884.6838485567326
2.2,1.4,1481.5044758876577,1481.5044758876577
1.4,4.4,508.65634342076845,508.65634342076845
1.6,4.6,862.7931065513524,862.7931065513524
2.4,1.4,1750.5637758939558,1750.5637758939558
2.2,1.6,1511.8575164787892,1511.8575164787892
2.2,3.4,1199.9866176470869,1199.9866176470869
2.3,0.8,1536.1563975680626,1536.1563975680626
1.6,2.4,934.7136022924221,934.7136022924221
1.4,3.7,560.253818224166,560.253818224166
2.5,4.6,728.9793063510463,728.9793063510463
2.4,0.5,1660.1015261684568,1660.1015261684568
2.0,0.8,1155.1880103843787,1155.1880103843787
1.6,1.1,742.522598163798,742.522598163798
2.5,2.2,1927.616016206528,1927.616016206528
2.2,1.8,1554.393353917585,1554.393353917585
2.5,1.0,1817.6934639395713,1817.6934639395713
2.4,3.5,1190.9740982718617,1190.9740982718617
2.2,3.8,1014.5541891157887,1014.5541891157887
2.1,0.5,1273.7872047335306,1273.7872047335306
2.2,1.0,1432.5534167487788,1432.5534167487788
1.9,3.3,1171.8849105875486,1171.8849105875486
1.9,0.5,1026.6228879430496,1026.6228879430496
1.6,2.6,902.2927362021672,902.2927362021672
1.7,0.5,802.8097179115393,802.8097179115393
2.1,2.2,1455.3865188458064,1455.3865188458064
1.7,3.2,951.2133294255784,951.2133294255784
2.4,2.2,1834.803264652033,1834.803264652033
2.5,0.9,1821.4843073010295,1821.4843073010295
2.4,0.7,1662.3999476541583,1662.3999476541583
2.3,2.0,1692.0542495079953,1692.0542495079953
2.1,0.9,1299.183621667957,1299.183621667957
2.0,3.6,999.4353163065108,999.4353163065108
2.1,1.0,1295.6060990745273,1295.6060990745273
2.0,4.1,924.9057694004398,924.9057694004398
2.3,2.7,1579.9801969771265,1579.9801969771265
2.2,1.7,1517.3774801919062,1517.3774801919062
1.6,3.2,874.9327810134588,874.9327810134588
2.4,1.5,1753.1173266814512,1753.1173266814512
2.2,2.4,1621.2039125870278,1621.2039125870278
2.5,1.6,1908.8385071932992,1908.8385071932992
2.4,0.8,1679.1454548731756,1679.1454548731756
1.5,2.6,848.2039886001768,848.2039886001768
2.0,1.7,1256.5892477404075,1256.5892477404075
2.4,2.4,1771.955624867832,1771.955624867832
1.8,3.2,1029.7702317614626,1029.7702317614626
2.4,3.0,1609.659134991754,1609.659134991754
2.5,2.4,1863.3753404383938,1863.3753404383938
2.3,2.4,1709.9000825980293,1709.9000825980293
1.6,1.3,756.8434615559531,756.8434615559531
2.2,0.6,1394.2931426583293,1394.2931426583293
2.2,3.3,1296.2864427867921,1296.2864427867921
2.5,1.3,1872.7592400902968,1872.7592400902968
2.2,3.9,1058.4389787212153,1058.4389787212153
2.0,2.4,1340.71966294136,1340.71966294136
1.8,3.3,997.3747217262128,997.3747217262128
2.4,2.0,1804.4932480166476,1804.4932480166476
